subject,body,category,priority,channel
Response time has tripled,I'd appreciate a quick response. Your platform seems overloaded during peak hours (9am–11am). We can barely use it.,Performance Issue,High,Web Form
Report generation fails every time,Please treat this as a high priority. The submit button on the contact form doesn't work. I've clicked it multiple times and nothing happens. Looking forward to a resolution.,Bug Report,High,Email
Two-factor authentication code not arriving,Our company's IT team changed our email domain and now none of us can log in. We need urgent help.,Login Issue,High,Phone
Cannot log into my account,"I've been a loyal customer and this is unacceptable. My account seems to be locked. I've only entered my password incorrectly twice, not ten times. Thanks.",Login Issue,Urgent,Chat
SSO login broken for our organization,I'm writing to urgently request help. I've tried every browser and cleared cache and cookies but still cannot sign in to my account. Regards.,Login Issue,High,Chat
PDF export has missing content,I'm not sure who to contact so I'm trying here. The dropdown in the user settings panel disappears the moment I click it. I can't select anything.,Bug Report,Medium,Social Media
Security vulnerability found in your app,I'm writing to urgently request help. I didn't log in today but my account shows a session active in a different country. Please investigate.,Security Concern,High,Phone
Slow load times affecting our team productivity,Thanks in advance for your help. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long. I expect to hear back within 24 hours.,Performance Issue,Medium,Web Form
Login page keeps refreshing without signing me in,I'm very disappointed with the service. I'm not receiving the two-factor authentication SMS code. My phone number is correct on file. Please respond ASAP.,Login Issue,High,Phone
Browser login works but app doesn't,I've been a loyal customer and this is unacceptable. I can sign in on the website but the iOS app keeps rejecting my credentials even though they're the same.,Login Issue,High,Web Form
Data breach concern – please investigate,Honestly this is really frustrating. Our team account shows activity from an IP we don't recognize. We suspect unauthorized access. Thank you for your time.,Security Concern,High,Web Form
Export function is broken,My dashboard data is completely blank even though I can see records in the backend. Something is broken. Thanks.,Bug Report,Medium,Chat
App crashes on startup,"Following up again as I haven't heard back. In dark mode, all the text in the Settings section becomes invisible — black text on dark background. Thanks.",Bug Report,High,Email
Two-factor authentication code not arriving,"I've been a loyal customer and this is unacceptable. After changing my password, the system still won't let me access my account. It keeps saying invalid credentials. Regards.",Login Issue,High,Phone
Cancel on behalf of my organization,This is the third time I'm reaching out about this. The features we were promised during sales haven't been delivered. That's why we're cancelling. Looking forward to a resolution.,Subscription Cancellation,High,Email
Cancel on behalf of my organization,I'm writing to urgently request help. The subscription renewed without me realizing it. I want it cancelled and the charge reversed. Regards.,Subscription Cancellation,Medium,Phone
Sign-in loop – keeps redirecting to login,I'm writing to urgently request help. The password reset link you sent me expired before I could use it. Please send a new one. Please respond ASAP.,Login Issue,Urgent,Email
Slow load times affecting our team productivity,"This used to be a fast, snappy tool. Now every interaction has a noticeable delay. Please fix this. Regards.",Performance Issue,High,Web Form
Magic link login not arriving,I hope you can assist me quickly. Your mobile app won't let me sign in. It shows an authentication error and then kicks me back to the home screen. I appreciate your help.,Login Issue,Urgent,Chat
Data breach concern – please investigate,I've been a loyal customer and this is unacceptable. I found a reflected XSS vulnerability in your search results page. I can share the details with your team. Best.,Security Concern,High,Chat
Response time has tripled,Please treat this as a high priority. Performance has noticeably declined since the update you pushed two days ago. Everything feels sluggish. I appreciate your help.,Performance Issue,High,Chat
I think my account was hacked,My API key is being used to make calls I didn't authorize. Something has compromised it.,Security Concern,High,Email
Refund for duplicate charge,I hope you can assist me quickly. I cancelled my order three days ago but the money hasn't been returned to my account. Can you please process the reimbursement? Best.,Refund Request,High,Chat
Credit card declined incorrectly,I'd appreciate a quick response. I was charged in USD but my plan is supposed to be billed in EUR. This is incorrect.,Payment Problem,Medium,Phone
Where is my refund?,I'm not sure who to contact so I'm trying here. Your system billed me two times for the same subscription. I expect the extra charge to be reversed immediately. I appreciate your help.,Refund Request,Medium,Phone
Switching to a competitor – please cancel,I'm not sure who to contact so I'm trying here. The pricing has gone up significantly and it's no longer within our budget. Please cancel. Best.,Subscription Cancellation,High,Email
I want to cancel my subscription,I'm very disappointed with the service. I need this cancelled today. I do not want to be billed again under any circumstances.,Subscription Cancellation,Medium,Email
I found exposed user data in your app,I discovered what appears to be a SQL injection vulnerability in your search parameter. Please fix it urgently.,Security Concern,Urgent,Email
Requesting refund for order #737517,I am entitled to a refund under your 30-day guarantee. Please initiate the process.,Refund Request,High,Chat
Password reset link not working,I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in?,Login Issue,High,Social Media
Unexpected charge on my statement,I tried checking out three times and each attempt failed. My card is perfectly valid. What is going on?,Payment Problem,Medium,Web Form
Request: audit log for team accounts,I'd appreciate a quick response. A drag-and-drop interface for organizing tasks would make the platform much more intuitive to use. Best.,Feature Request,Medium,Chat
Please add keyboard shortcuts,Keyboard shortcuts would massively improve our workflow. Even basic ones like save or navigate tabs. Thanks.,Feature Request,Medium,Web Form
Account disabled without explanation,I'm not sure who to contact so I'm trying here. Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything. I appreciate your help.,Login Issue,High,Email
Response time has tripled,I'm writing to urgently request help. We're experiencing very high latency from your service. Ping times are averaging 900ms from our region. Looking forward to a resolution.,Performance Issue,High,Chat
I no longer need this service,This is the third time I'm reaching out about this. I'm on a free trial and want to cancel before it converts to a paid plan at the end of the week.,Subscription Cancellation,Medium,Phone
API response times are unacceptable,I'm not sure who to contact so I'm trying here. Your API endpoints are responding in 8-12 seconds. We need sub-second responses for our integration to work. Regards.,Performance Issue,High,Email
Data sync is delayed by hours,Honestly this is really frustrating. The delay in loading data has tripled compared to last week. Please look into server-side performance. Please respond ASAP.,Performance Issue,High,Web Form
Application grinding to a halt,Thanks in advance for your help. Generating a basic report that used to take 5 seconds now takes 4 minutes. What changed? I appreciate your help.,Performance Issue,Medium,Phone
Please add two-way sync with Google Sheets,I'd appreciate a quick response. We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Please respond ASAP.,Feature Request,Medium,Email
Request: audit log for team accounts,We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Thanks.,Feature Request,Low,Phone
Pages lagging and timing out,I'd appreciate a quick response. We're experiencing very high latency from your service. Ping times are averaging 900ms from our region. I appreciate your help.,Performance Issue,High,Phone
Sync is failing with error code,The app completely freezes when I try to open a file larger than 10MB. I have to force quit every time.,Bug Report,Medium,Phone
Switching to a competitor – please cancel,I hope you can assist me quickly. I need this cancelled today. I do not want to be billed again under any circumstances. Looking forward to a resolution.,Subscription Cancellation,Medium,Email
Platform down or extremely slow?,I'm not sure who to contact so I'm trying here. Is there a known outage? The platform has been nearly inaccessible for the past two hours.,Performance Issue,Medium,Email
Accidental purchase – please refund,"Hi there, accidental subscription renewal — I had already switched providers. Can I get my money back? Looking forward to a resolution.",Refund Request,High,Phone
Would love a custom reporting feature,I've been a loyal customer and this is unacceptable. It would be great if the platform could sync with Google Calendar. Right now we manage schedules separately.,Feature Request,Low,Email
Suspicious activity in my team account,Emails are going out from my account that I did not send. Someone has access to my email integration. Thank you for your time.,Security Concern,Urgent,Email
Urgent: security breach on my organization account,Honestly this is really frustrating. Urgent: our entire organization account appears to have been accessed by an unknown party. Please escalate. Please respond ASAP.,Security Concern,High,Email
Old card being charged despite update,I hope you can assist me quickly. I updated my card details last week but you're still charging the old card which is now expired. I appreciate your help.,Payment Problem,Urgent,Web Form
Attachment upload stuck at 99%,I'd appreciate a quick response. Running a report always times out and crashes. I have only 200 records — it should not take that long. I expect to hear back within 24 hours.,Bug Report,Medium,Chat
Login error on mobile app,Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything.,Login Issue,High,Web Form
High latency in your service,My dashboard is taking over 3 minutes to load. This is unworkable for my team.,Performance Issue,Medium,Email
Two-factor authentication code not arriving,I'm very disappointed with the service. I can sign in on the website but the iOS app keeps rejecting my credentials even though they're the same.,Login Issue,Urgent,Phone
I want my payment reversed,I cancelled my order three days ago but the money hasn't been returned to my account. Can you please process the reimbursement? I expect to hear back within 24 hours.,Refund Request,Medium,Chat
Unable to complete checkout,I hope you can assist me quickly. Two charges appeared on my credit card for the same transaction date. Only one should have processed.,Payment Problem,Urgent,Phone
Feature request: role-based access control,Following up again as I haven't heard back. Could you add a bulk export feature? Exporting records one at a time is very tedious. I expect to hear back within 24 hours.,Feature Request,Medium,Chat
Suggestion: offline mode for mobile,I've been a loyal customer and this is unacceptable. Webhook support would let us push events from your platform to our systems in real time. Is this on your roadmap? Thank you for your time.,Feature Request,Low,Phone
Please help me cancel – can't find the option,I've been a loyal customer and this is unacceptable. We are terminating our enterprise agreement. Please connect us with our account manager to finalize. I expect to hear back within 24 hours.,Subscription Cancellation,High,Email
Images not uploading properly,This is the third time I'm reaching out about this. I've been trying to upload a 5MB attachment for 20 minutes. It gets to 99% and just hangs forever. I appreciate your help.,Bug Report,High,Social Media
Google login not working,"I'm very disappointed with the service. I'm stuck in a login loop. Every time I authenticate, it brings me right back to the sign-in page.",Login Issue,High,Chat
Credit card declined incorrectly,I'm writing to urgently request help. Two charges appeared on my credit card for the same transaction date. Only one should have processed. Best.,Payment Problem,Medium,Chat
Account accessed from another country,I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise. Please respond ASAP.,Security Concern,Urgent,Phone
Cancelling due to high pricing,Honestly this is really frustrating. I want to cancel our annual plan. We're 4 months in. Please advise on the cancellation process. Best.,Subscription Cancellation,Medium,Email
Sign-in loop – keeps redirecting to login,"This is the third time I'm reaching out about this. My account seems to be locked. I've only entered my password incorrectly twice, not ten times. Regards.",Login Issue,Urgent,Phone
Search results showing wrong items,I hope you can assist me quickly. The app crashes every time I open it on my laptop. I haven't changed anything. Error: 3048. Looking forward to a resolution.,Bug Report,High,Chat
Login error on mobile app,I'm very disappointed with the service. I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in?,Login Issue,High,Phone
Locked out of my account,"Following up again as I haven't heard back. My account seems to be locked. I've only entered my password incorrectly twice, not ten times. I appreciate your help.",Login Issue,Urgent,Email
Error when saving changes,"I've been a loyal customer and this is unacceptable. After applying a filter, the wrong records appear. It seems like the filter logic is completely reversed.",Bug Report,High,Web Form
Unknown devices listed in my account,Following up again as I haven't heard back. Our team account shows activity from an IP we don't recognize. We suspect unauthorized access. Looking forward to a resolution.,Security Concern,High,Email
Export function is broken,I've been a loyal customer and this is unacceptable. The app crashes every time I open it on my laptop. I haven't changed anything. Error: 7631. I appreciate your help.,Bug Report,High,Email
API response times are unacceptable,I hope you can assist me quickly. The mobile app is freezing and lagging constantly. Tapping buttons takes 3-4 seconds to register.,Performance Issue,Medium,Phone
I forgot my email address on file,Following up again as I haven't heard back. I tried to log in using my Google account but I get an error that says the OAuth request failed.,Login Issue,High,Email
Urgent: security breach on my organization account,Thanks in advance for your help. I accidentally exposed my API key in a public repo. Please revoke it immediately and issue a new one. I appreciate your help.,Security Concern,Urgent,Phone
Slow load times affecting our team productivity,I'm not sure who to contact so I'm trying here. The mobile app is freezing and lagging constantly. Tapping buttons takes 3-4 seconds to register. Best.,Performance Issue,Medium,Chat
I forgot my email address on file,"Honestly this is really frustrating. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens.",Login Issue,Urgent,Chat
Charged after cancellation – need refund,"Hi, I was charged twice this month and I need a refund for the duplicate transaction. Please look into this as soon as possible. Thank you for your time.",Refund Request,High,Email
Please process my refund immediately,I'd appreciate a quick response. I want a reimbursement for the subscription that was auto-renewed without my consent. Looking forward to a resolution.,Refund Request,Medium,Social Media
Request for reimbursement on cancelled order,Honestly this is really frustrating. I never received the product I paid for. Please issue a full refund as soon as possible. Please respond ASAP.,Refund Request,High,Web Form
Wrong data displayed after filter,I'm writing to urgently request help. My dashboard data is completely blank even though I can see records in the backend. Something is broken. I expect to hear back within 24 hours.,Bug Report,High,Email
Data sync is delayed by hours,The delay in loading data has tripled compared to last week. Please look into server-side performance. Regards.,Performance Issue,Medium,Chat
Charged after cancellation – need refund,I'm writing to urgently request help. It's been two weeks since I requested a refund and there's been no update. This is unacceptable. Please escalate.,Refund Request,Medium,Web Form
Payment declined on valid card,I'm very disappointed with the service. The discount I was promised by your sales team is not reflected on my bill. Please correct it. Thank you for your time.,Payment Problem,Medium,Chat
Mobile app is laggy and unresponsive,I've been a loyal customer and this is unacceptable. Something is wrong this morning. Nothing loads in under 30 seconds. Thanks.,Performance Issue,High,Chat
Unauthorized API calls using my credentials,I'd appreciate a quick response. Someone changed the email address on my account without my permission. I need this reversed immediately.,Security Concern,High,Email
API response times are unacceptable,I hope you can assist me quickly. Something is wrong this morning. Nothing loads in under 30 seconds. Looking forward to a resolution.,Performance Issue,High,Chat
Unauthorized access to my account,I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise.,Security Concern,Urgent,Chat
Suggestion: offline mode for mobile,"The search filters are quite basic. Adding filters for date range, status, and custom fields would be great. Thanks.",Feature Request,Low,Chat
My API key may be compromised,I'd appreciate a quick response. Emails are going out from my account that I did not send. Someone has access to my email integration. I appreciate your help.,Security Concern,Urgent,Phone
Google login not working,I've been a loyal customer and this is unacceptable. I can sign in on the website but the iOS app keeps rejecting my credentials even though they're the same.,Login Issue,High,Chat
I no longer need this service,I hope you can assist me quickly. I need this cancelled today. I do not want to be billed again under any circumstances.,Subscription Cancellation,High,Web Form
Your servers seem overloaded today,Thanks in advance for your help. Data synced on one device isn't showing on another device even after 3 hours. The delay is way too long.,Performance Issue,Medium,Web Form
Session keeps expiring immediately,I'd appreciate a quick response. I tried to log in using my Google account but I get an error that says the OAuth request failed. I expect to hear back within 24 hours.,Login Issue,Urgent,Phone
Unknown devices listed in my account,I'm very disappointed with the service. Someone changed the email address on my account without my permission. I need this reversed immediately.,Security Concern,High,Phone
Account locked after too many attempts,Thanks in advance for your help. Our entire team uses SSO through Okta and it stopped working this morning. We can't access anything. Thanks.,Login Issue,High,Phone
Would love a custom reporting feature,We'd love a native desktop app for Mac and Windows. The web app is good but a desktop version would be better. I expect to hear back within 24 hours.,Feature Request,Low,Phone
App performance degraded since last update,Thanks in advance for your help. The whole platform has ground to a halt. Clicking anything results in a spinning loader that never resolves. Thank you for your time.,Performance Issue,Medium,Email
Duplicate payment on my credit card,This is the third time I'm reaching out about this. The invoice I received shows $29 but my plan should only be $29 per month. Please correct this. I expect to hear back within 24 hours.,Payment Problem,Medium,Email
Unauthorized access to my account,I'm not sure who to contact so I'm trying here. I received an alert that someone logged into my account from a location I don't recognize. Please lock it immediately.,Security Concern,High,Web Form
My payment method isn't being accepted,I'm very disappointed with the service. I cancelled before the billing date but was still charged. Please remove the charge.,Payment Problem,High,Web Form
XSS vulnerability in your web app,I'm very disappointed with the service. I found a reflected XSS vulnerability in your search results page. I can share the details with your team. Please respond ASAP.,Security Concern,Urgent,Email
Google login not working,I'm not sure who to contact so I'm trying here. I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in? Thanks.,Login Issue,Urgent,Email
Cancel my annual plan,We've completed the project this subscription was for and no longer need the service. Thanks.,Subscription Cancellation,High,Email
Downgrading and cancelling add-ons,Please treat this as a high priority. The features we were promised during sales haven't been delivered. That's why we're cancelling.,Subscription Cancellation,Medium,Chat
Your servers seem overloaded today,We're experiencing very high latency from your service. Ping times are averaging 900ms from our region. Please respond ASAP.,Performance Issue,Medium,Phone
Where is my refund?,I'd appreciate a quick response. I see two identical charges from your company on my bank statement. Please refund the extra one immediately. Please respond ASAP.,Refund Request,Medium,Email
Unable to complete checkout,I've been a loyal customer and this is unacceptable. I've been on hold for payment support for 40 minutes. This is beyond frustrating. Please fix the billing error.,Payment Problem,High,Email
Payment declined on valid card,I cancelled before the billing date but was still charged. Please remove the charge. I expect to hear back within 24 hours.,Payment Problem,Urgent,Web Form
Unauthorized access to my account,I'm writing to urgently request help. I accidentally exposed my API key in a public repo. Please revoke it immediately and issue a new one. Best.,Security Concern,High,Chat
Google login not working,I'm not receiving the two-factor authentication SMS code. My phone number is correct on file. Thanks.,Login Issue,Urgent,Web Form
My password was leaked in your breach,I was notified by HaveIBeenPwned that my credentials from your service were leaked. Please advise. I expect to hear back within 24 hours.,Security Concern,Urgent,Social Media
Authentication error on sign in,"Please treat this as a high priority. Every time I hit sign in, the page just refreshes and I end up back at the login screen. Nothing happens. Thank you for your time.",Login Issue,High,Web Form
Unauthorized API calls using my credentials,Thanks in advance for your help. Our security team flagged several issues with your platform during an audit. Please contact our CISO.,Security Concern,Urgent,Email
How do I cancel before next billing?,This is the third time I'm reaching out about this. I've decided to stop using your service. Please cancel my account and stop all future billing. I expect to hear back within 24 hours.,Subscription Cancellation,Medium,Phone
PDF export has missing content,I'd appreciate a quick response. The sync between my desktop app and mobile keeps failing with error E-5718. Data is out of sync.,Bug Report,Medium,Email
Request for API rate limit increase,Two-way sync with Google Sheets would save our ops team hours every week. Please consider adding it. Best.,Feature Request,Medium,Phone
Add ability to schedule reports,Honestly this is really frustrating. Offline mode for the mobile app would be a huge improvement. We often work in areas with poor connectivity. Thank you for your time.,Feature Request,Low,Chat
Refund owed from last month,"Please treat this as a high priority. Hi there, accidental subscription renewal — I had already switched providers. Can I get my money back? Looking forward to a resolution.",Refund Request,High,Email
Would love a drag-and-drop interface,I'm very disappointed with the service. We'd love the ability to create custom reports with our own fields rather than just the preset ones. Best.,Feature Request,Medium,Chat
Please add two-way sync with Google Sheets,Following up again as I haven't heard back. Keyboard shortcuts would massively improve our workflow. Even basic ones like save or navigate tabs.,Feature Request,Medium,Chat
Feature request: role-based access control,I'm writing to urgently request help. We'd love the ability to create custom reports with our own fields rather than just the preset ones. I appreciate your help.,Feature Request,Low,Email
Please add two-way sync with Google Sheets,Honestly this is really frustrating. We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Best.,Feature Request,Medium,Chat
Possible SQL injection vulnerability found,I've been a loyal customer and this is unacceptable. I found a reflected XSS vulnerability in your search results page. I can share the details with your team. Looking forward to a resolution.,Security Concern,Urgent,Email
Browser extension crashing,I'd appreciate a quick response. I'm not getting any push notifications even though they're turned on in settings. Other users are getting them fine.,Bug Report,High,Email
Search is very slow,Generating a basic report that used to take 5 seconds now takes 4 minutes. What changed? Regards.,Performance Issue,High,Chat
XSS vulnerability in your web app,I hope you can assist me quickly. I believe my account was hacked. My profile info was changed and I didn't do it. Please help urgently. Thanks.,Security Concern,High,Chat
Cancelling due to high pricing,I'd appreciate a quick response. I'd like to cancel my subscription effective immediately. Please confirm this has been done.,Subscription Cancellation,High,Chat
Please confirm my cancellation,I'm very disappointed with the service. I submitted a cancellation request last week but haven't received confirmation. Please confirm. I expect to hear back within 24 hours.,Subscription Cancellation,High,Email
Strange emails being sent from my account,I'm very disappointed with the service. My API key is being used to make calls I didn't authorize. Something has compromised it. Please respond ASAP.,Security Concern,Urgent,Web Form
Slow load times affecting our team productivity,I'm writing to urgently request help. Our video conferencing feature buffers every 30 seconds. It's making calls completely unusable. Thanks.,Performance Issue,Medium,Web Form
Cancelling because features I need are missing,Thanks in advance for your help. I'd like to cancel my subscription effective immediately. Please confirm this has been done.,Subscription Cancellation,High,Chat
Suggestion: offline mode for mobile,A weekly email digest with a summary of activity would be very useful. Even a simple version would help. Looking forward to a resolution.,Feature Request,Low,Phone
Error when saving changes,Please treat this as a high priority. Images fail to upload after the progress bar hits 50%. The upload just stops and shows a vague error. Thanks.,Bug Report,High,Email
Refund status inquiry,I'd appreciate a quick response. Billing charged me for an account I already closed. Need this refunded urgently. Thanks.,Refund Request,High,Chat
Charged after cancellation – need refund,This is the third time I'm reaching out about this. It's been two weeks since I requested a refund and there's been no update. This is unacceptable. Please escalate.,Refund Request,High,Web Form
Slow load times affecting our team productivity,My dashboard is taking over 3 minutes to load. This is unworkable for my team. Thanks.,Performance Issue,Medium,Chat
Response time has tripled,I'm writing to urgently request help. The search function is very slow. It takes up to 15 seconds to return results for a simple query.,Performance Issue,Medium,Chat
Cannot access account – urgent,I changed my phone number and now can't receive 2FA codes. How do I update my number without logging in? Thanks.,Login Issue,High,Email
Request for API rate limit increase,I'm very disappointed with the service. We operate in multiple countries. Multi-language support is critical for us — especially Spanish and French. Thanks.,Feature Request,Low,Chat
Downgrading and cancelling add-ons,The features we were promised during sales haven't been delivered. That's why we're cancelling. I expect to hear back within 24 hours.,Subscription Cancellation,High,Web Form
Wrong data displayed after filter,"I hope you can assist me quickly. The CSV export feature stopped working. When I click Export, the page just refreshes with no file downloaded. I appreciate your help.",Bug Report,Medium,Email
Payment declined on valid card,Your checkout page is broken on mobile. It spins forever after I hit submit but never confirms the payment.,Payment Problem,High,Email
